run_name,version,state,run_progress,hidden_size,params,tokens,tflops,batch_size,num_train_steps,train_seq_len,learning_rate,adam_lr,beta1,beta2,epsilon,max_grad_norm,z_loss_weight,initializer_range,eval_loss,eval_loss_cds,eval_loss_upstream,eval_loss_downstream,lm_eval/traitgym_mendelian_v2_255/auprc,lm_eval/traitgym_mendelian_v2_255/3_prime_UTR_variant/auprc,lm_eval/traitgym_mendelian_v2_255/5_prime_UTR_variant/auprc,lm_eval/traitgym_mendelian_v2_255/distal/auprc,lm_eval/traitgym_mendelian_v2_255/missense_variant/auprc,lm_eval/traitgym_mendelian_v2_255/non_coding_transcript_exon_variant/auprc,lm_eval/traitgym_mendelian_v2_255/splicing/auprc,lm_eval/traitgym_mendelian_v2_255/synonymous_variant/auprc,lm_eval/traitgym_mendelian_v2_255/tss_proximal/auprc
dna-bolinas-scaling-v0.5-h640-p46M,v0.5,finished,0.9999953612216687,640,45893760,84767420928,24507986,1536,215574,256,0.001656070288044504,0.0015719609666189408,0.6675603345321236,0.9908625761010076,1.901773722851381e-14,0.9951880136348764,4.312883184368223e-06,0.02,1.066625952720642,0.9805079102516174,1.1133925914764404,1.202843427658081,0.31205448022488186,0.13382854959884807,0.15389704954897837,0.14164874233682556,0.3906504281406212,0.16608590196802148,0.2720242812954778,0.2551874460021157,0.11382431459524432
dna-bolinas-scaling-v0.5-h768-p76M,v0.5,finished,0.9999953612216687,768,75521280,84767420928,40010267,1536,215574,256,0.001656070288044504,0.0015719609666189408,0.6675603345321236,0.9908625761010076,1.901773722851381e-14,0.9951880136348764,4.312883184368223e-06,0.02,1.013919711112976,0.8909946084022522,1.0965280532836914,1.190244197845459,0.3965273951157831,0.18495485046131396,0.14927888522122773,0.1514671929009756,0.5055939026489458,0.14762002411813324,0.364668346519409,0.3112130881047487,0.125517610678178
dna-bolinas-scaling-v0.5-h896-p128M,v0.5,finished,0.9999953612216687,896,128481920,84767420928,67680411,1536,215574,256,0.001656070288044504,0.0015719609666189408,0.6675603345321236,0.9908625761010076,1.901773722851381e-14,0.9951880136348764,4.312883184368223e-06,0.02,0.925938844680786,0.7440615296363831,1.0673474073410034,1.1649043560028076,0.3001874464778279,0.1390163670216652,0.14026758089663172,0.15009538859484306,0.3717783854556328,0.16138998770538865,0.26563558381409297,0.30557152068267723,0.11811912259059763
dna-bolinas-scaling-v0.5-h1152-p255M,v0.5,finished,0.9999953612216687,1152,254848896,84767420928,133219059,1536,215574,256,0.001656070288044504,0.0015719609666189408,0.6675603345321236,0.9908625761010076,1.901773722851381e-14,0.9951880136348764,4.312883184368223e-06,0.02,0.8545992374420166,0.6313639879226685,1.0347530841827393,1.1403744220733645,0.48578730015626326,0.1554732077436913,0.1980325549823908,0.1794240433361797,0.6259645861879379,0.1653410796361363,0.4879890944880388,0.4504498035102568,0.1250317858165789
dna-bolinas-scaling-v0.5-h1408-p476M,v0.5,finished,0.9999953612216687,1408,475854720,84767420928,247525839,1536,215574,256,0.001656070288044504,0.0015719609666189408,0.6675603345321236,0.9908625761010076,1.901773722851381e-14,0.9951880136348764,4.312883184368223e-06,0.02,0.7795760035514832,0.5169774293899536,0.9939613938331604,1.1129262447357178,0.4504732441696552,0.2053814505959531,0.22162433327705913,0.17929983947180683,0.571362190647478,0.160720662690745,0.446328673092461,0.42365001763286103,0.15058740632682824
dna-bolinas-scaling-v0.5-h1920-p1B,v0.5,finished,0.9999953612216687,1920,1120767360,84767420928,579535807,1536,215574,256,0.001656070288044504,0.0015719609666189408,0.6675603345321236,0.9908625761010076,1.901773722851381e-14,0.9951880136348764,4.312883184368223e-06,0.02,0.702241837978363,0.4143894612789154,0.9290394186973572,1.077025294303894,0.4697683914091154,0.19464418447279463,0.43071175280904894,0.15745399334310234,0.5794659624333802,0.1834003311357275,0.54340292386022,0.3723245399650604,0.19548370869828785
dna-bolinas-scaling-v0.5-h2432-p2B,v0.5,finished,0.9999953612216687,2432,2271368832,84767420928,1170443811,1536,215574,256,0.001656070288044504,0.0015719609666189408,0.6675603345321236,0.9908625761010076,1.901773722851381e-14,0.9951880136348764,4.312883184368223e-06,0.02,0.6488915681838989,0.3561822474002838,0.8728030920028687,1.0376685857772827,0.4501232476547221,0.16319157230990708,0.4082151610886,0.1570061848540593,0.5403644910045101,0.1880014087043116,0.5559777223975113,0.4493629439244833,0.2043900709645231
dna-bolinas-scaling-v0.5-h2944-p4B,v0.5,running,0.9511907743976546,2944,4021766016,84767420928,1966830050,1536,215574,256,0.001656070288044504,0.0015719609666189408,0.6675603345321236,0.9908625761010076,1.901773722851381e-14,0.9951880136348764,4.312883184368223e-06,0.02,0.6226422786712646,0.33633774518966675,0.8401829600334167,1.0045937299728394,0.4344895451636041,0.14780315821695073,0.4725805413951348,0.13144534008084097,0.5173413965115343,0.17576227078372272,0.5271476846420705,0.4225763785102627,0.189169248644934
