run_name,metric,step,value
dna-bolinas-scaling-v0.5-h1152-p255M,train/loss,208816,1.147570252418518
dna-bolinas-scaling-v0.5-h1152-p255M,train/loss,215552,1.138391375541687
dna-bolinas-scaling-v0.5-h1152-p255M,train/loss,215573,1.147774577140808
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,0,2.2170112133026123
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,6736,1.2147042751312256
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,13472,1.1891987323760986
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,20208,1.1588107347488403
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,26944,1.106394648551941
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,33680,1.0599948167800903
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,40416,1.022480845451355
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,47152,0.9940299987792969
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,53888,0.9740031957626343
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,60624,0.9594104886054993
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,67360,0.9444283843040466
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,74096,0.9315812587738037
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,80832,0.9189894795417786
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,87568,0.9103560447692871
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,94304,0.9015249013900757
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,101040,0.8988082408905029
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,107776,0.8927343487739563
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,114512,0.886493980884552
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,121248,0.8811478018760681
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,127984,0.8748824596405029
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,134720,0.8709275126457214
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,141456,0.8686176538467407
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,148192,0.865475058555603
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,154928,0.862144410610199
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,161664,0.8580561876296997
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,168400,0.8546086549758911
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,175136,0.847779393196106
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,181872,0.8362693190574646
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,188608,0.8215832710266113
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,195344,0.8090119957923889
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,202080,0.796061098575592
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,208816,0.7856889963150024
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,215552,0.7795902490615845
dna-bolinas-scaling-v0.5-h1408-p476M,eval/loss,215573,0.7795760035514832
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,0,2.396491527557373
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,6736,1.3053622245788574
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,13472,1.284888505935669
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,20208,1.2700200080871582
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,26944,1.2509219646453857
